id	term	count
0	of	10741
1	and	9177
2	a	7997
3	to	6874
4	in	6288
5	is	3865
6	text	3257
7	on	2802
8	by	1698
9	data	1648
10	information	1641
11	mining	1611
12	method	1396
13	language	1371
14	approach	1282
15	model	1250
16	analysis	1181
17	document	1136
18	system	1044
19	word	1025
20	sentiment	946
21	based	936
22	feature	878
23	proposed	877
24	used	847
25	technique	844
26	natural	810
27	task	799
28	processing	798
29	research	786
30	semantic	762
31	ha	747
32	algorithm	695
33	topic	655
34	knowledge	653
35	classification	648
36	learning	639
37	different	637
38	study	635
39	extraction	618
40	term	570
41	entity	563
42	application	542
43	corpus	525
44	use	518
45	user	517
46	social	514
47	performance	503
48	set	498
49	review	494
50	problem	489
51	not	467
52	more	445
53	domain	442
54	opinion	438
55	work	431
56	machine	427
57	process	425
58	s	409
59	web	408
60	concept	406
61	network	404
62	representation	403
63	sentence	392
64	medium	390
65	retrieval	385
66	similarity	383
67	wa	365
68	at	359
69	content	353
70	however	348
71	propose	348
72	important	347
73	tool	342
74	framework	334
75	various	333
76	biomedical	333
77	many	331
78	experiment	327
79	field	326
80	relation	319
81	accuracy	318
82	ontology	316
83	extract	314
84	clustering	312
85	evaluation	305
86	article	303
87	nature	300
88	online	297
89	author	297
90	vector	292
91	first	289
92	existing	283
93	nlp	282
94	textual	278
95	measure	277
96	number	273
97	order	270
98	question	269
99	news	264
100	pattern	261
101	source	259
102	time	258
103	available	258
104	type	258
105	dataset	252
106	some	252
107	support	251
108	product	251
109	summarization	246
110	automatic	246
111	detection	245
112	several	244
113	related	243
114	event	243
115	experimental	242
116	search	240
117	resource	238
118	applied	237
119	better	237
120	well	235
121	literature	232
122	challenge	229
123	novel	228
124	extracted	228
125	context	227
126	automatically	226
127	publishing	225
128	developed	224
129	recognition	224
130	relevant	223
131	named	222
132	area	221
133	service	220
134	technology	219
135	relationship	219
136	international	219
137	right	218
138	form	217
139	issue	216
140	collection	215
141	provide	214
142	e	214
143	compared	213
144	science	213
145	ag	211
146	case	209
147	classifier	206
148	aim	205
149	structure	204
150	amount	204
151	unstructured	204
152	switzerland	204
153	scientific	201
154	useful	200
155	reserved	200
156	customer	199
157	need	198
